title,prompt_text,output_text,ai_tool_name,type_name,category_name,tags,rating,output_status,credits_used,attachment_filename,usage_count,version,ai_tool_model
Brand Identity Kit Generator,"Act as a professional brand strategist. Create a brand identity kit for a startup named GreenPulse (focus: renewable energy for households). Deliverables:

Brand mission statement (short + long version)

Brand values (5 bullet points)

Color palette (HEX codes + emotional reasoning)

Font pairing suggestion (with Google Fonts references)

Tone of voice guidelines with 3 dos & donts

A one-line brand tagline.",Brand Identity Kit,ChatGPT,Grey Cells,Branding,"[""Branding"",""Busines""]",4,Successful,0,,266,1,GPT-4
Social Media Calendar for Instagram,"Generate a 30-day Instagram content calendar for a small handcrafted jewelry business. Include daily post themes, suggested caption hooks, recommended hashtag sets (3–5 per post), and visual concept ideas for each day.","30-day Instagram content calendar with daily themes, hooks, hashtags and visual concepts",Perplexity,Grey Cells,Social Media,"[""instagram"", ""calendar""]",5,Successful,0,,406,1,Perplexity Pro
Logo Concepts Moodboard,"Design 5 logo explorations for a coffee brand called Roasted Soul. Style: minimal, earthy, warm tones. Vary typography (serif, sans, script, geometric) and iconography inspired by coffee beans, mugs, or mountains.",5 logo concept descriptions and mood directions,Midjourney,Grey Cells,Designs,"[""logo"", ""coffee""]",5,Successful,0,,119,1,Midjourney v6
SEO Content Blueprint,"Give me a keyword-driven blog content strategy for an e-commerce site selling sustainable backpacks in India. Include 10 blog titles with target long-tail keywords, meta descriptions, suggested content outline for each blog, and link-building ideas.","10 SEO blog titles, meta descriptions, outlines, and link-building ideas",ChatGPT,Grey Cells,SEO,"[""seo"", ""content""]",5,Successful,0,,1185,1,GPT-4
Explainer Video Script,"Write a script for a 90-second animated explainer video for a fintech app that helps college students manage expenses. Structure: hook problem, solution, demo flow (3 key screens), benefits, CTA.",90-second animated explainer script with scene descriptions and CTA,RunwayML,Grey Cells,Videos,"[""explainer"", ""fintech""]",5,Successful,0,,210,1,Runway-Video
Automated Newsletter Generator,"Build a workflow that takes trending articles about AI in healthcare from RSS feeds, summarizes them, and auto-formats them into a weekly Mailchimp newsletter with subject line suggestions.",Workflow steps and automation recipe for weekly AI-in-healthcare newsletter,Flow,Grey Cells,Automation,"[""newsletter"", ""automation""]",4,Successful,0,,87,1,Flow Automation
Landing Page Wireframe Content,"Write full text content for a landing page for 'ZenStudy' (AI study companion). Include hero headline, value proposition, features with benefits, social proof format, pricing tiers, and CTA.","Complete landing page copy: headline, features, pricing, testimonials and CTA",Claude,Grey Cells,Website,"[""landing"", ""copy""]",5,Successful,0,,942,1,Claude 2
AI-Generated UGC Campaign,"Create 5 short user-generated style video scripts (30 sec each) for a skincare brand. Each script should be selfie style, start with a before problem, show product use, and end with an enthusiastic endorsement.",5 UGC-style video scripts (30s each) ready for creators,HeyGen,Grey Cells,UGC,"[""ugc"", ""skincare""]",4,Successful,0,,339,1,HeyGen Pro
Business Model Canvas Draft,Draft a Business Model Canvas for a startup offering subscription-based plant care kits. Include 2–3 bullet points for each of the 9 sections.,Business Model Canvas with 9 sections populated,ChatGPT,Grey Cells,Business,"[""business"", ""canvas""]",5,Successful,0,,705,1,GPT-4
AI Research Summarizer,Summarize the latest 2025 research papers on biodegradable alternatives to plastic packaging. Provide a 2-paragraph layman explanation and 3 bullet points on commercial applications.,Concise research summary with layman explainer and commercial use cases,Gemini,Grey Cells,Research,"[""research"", ""packaging""]",4,So-So,0,,242,1,Gemini Pro
Creative Writing Spark (Song Lyrics),"Compose a song lyric in Tamil+English about resilience, themed 'never giving up'. Include chorus idea and verse concept; style should match energetic kuthu.",Song lyric draft (chorus + verses) mixing Tamil and English in kuthu style,Suno,Grey Cells,Creative,"[""song"", ""lyrics""]",4,Successful,0,,73,1,Suno Music AI
Finance Forecast Template,"Create a 12-month financial projection template for a boutique design studio. Assumptions: 5 clients/month, avg billing ₹50,000, variable costs 30%. Output monthly revenue, expenses, profit, and break-even month.",12-month projection spreadsheet template with revenue and profit estimates,ChatGPT,Grey Cells,Finance,"[""finance"", ""forecast""]",5,Successful,0,,707,1,GPT-4
