title,prompt_text,output_text,ai_tool_name,type_name,category_name,tags,rating,output_status,credits_used,attachment_filename,usage_count,version,ai_tool_model
E-commerce Product Copy,"Write compelling product descriptions (100 words each) for 5 ceramic coffee mugs (boho, minimal, vintage, luxury, hand-painted). Tone: cozy + aspirational. Suggest matching lifestyle images.",5 product descriptions with image suggestions,FreePik,Grey Cells,E-comm,"[""product"", ""copy""]",5,Successful,0,,213,1,FreePik API
Personal Portfolio Website Copy,"Write website copy for a designer portfolio homepage: intro tagline, bio, featured projects descriptions (3), testimonial placeholder, and contact CTA. Tone: confident yet approachable.",Homepage copy for designer portfolio with project blurbs and CTA,Leonardo,Grey Cells,Personality,"[""portfolio"", ""copy""]",5,Successful,0,,1279,1,Leonardo v1
AI Travel Itinerary Planner,"Plan a 7-day trip across South India for a couple interested in temples, beaches, and food. Include daily schedule, travel tips, and local experiences.","7-day detailed itinerary with places, food and travel tips",ChatGPT,Grey Cells,Lifestyle,"[""travel"", ""itinerary""]",5,Successful,0,,398,1,GPT-4
AI Fitness Coach,"Design a personalized 4-week fitness plan for a beginner with no gym access. Focus: bodyweight exercises, yoga, and diet recommendations.",4-week fitness program with daily exercises and diet notes,Claude,Grey Cells,Health,"[""fitness"", ""health""]",5,Successful,0,,744,1,Claude 2
Streetwear Fashion Shoot Ideas,"Generate 10 creative photography concepts for a streetwear brand campaign. Include locations, props, poses, and mood board ideas.",10 streetwear photography shoot concepts with detailed notes,Midjourney,Grey Cells,Images,"[""fashion"", ""photography""]",5,Successful,0,,629,1,Midjourney v6
Product Demo Video Script,"Write a 60-second video script for a new smart water bottle showing features like hydration reminders, LED alerts, and app tracking.",60-second engaging demo script with feature highlights,Sora,Grey Cells,Videos,"[""video"", ""demo""]",5,Successful,0,,172,1,Sora Gen-2
Mindfulness Audio Guide,Create a 10-minute guided meditation script focused on reducing stress and improving focus. Include calm breathing cues and affirmations.,10-minute meditation script with affirmations and breathing guidance,Musicful,Grey Cells,Audio,"[""meditation"", ""audio""]",5,Successful,0,,566,1,Musicful Studio
Personal Finance Chatbot,"Design chatbot conversation flows to help users track expenses and savings goals. Include greetings, expense logging, and monthly summaries.",Conversation flow charts for finance chatbot with sample dialogues,Qwen,Grey Cells,Chatbots,"[""chatbot"", ""finance""]",4,Successful,0,,935,1,Qwen-2
AI Resume Enhancer,"Rewrite this resume for a product designer to highlight leadership, creativity, and user-centered design projects.",Improved resume draft emphasizing design leadership and skills,ChatGPT,Grey Cells,Career,"[""resume"", ""career""]",5,Successful,0,,299,1,GPT-4
Virtual Classroom Setup,"Suggest an online teaching setup with affordable tools: camera, microphone, lighting, background, and software.",Shopping list and setup tips for affordable online classroom,Perplexity,Grey Cells,Education,"[""teaching"", ""setup""]",4,Successful,0,,433,1,Perplexity Pro
AI Art Therapy Prompts,Generate 5 therapeutic drawing prompts to help people express emotions using abstract art styles.,5 drawing activity prompts with emotional themes,Stable Diffusion,Grey Cells,Creative,"[""art"", ""therapy""]",5,Successful,0,,188,1,Stable Diffusion XL
AI Startup Pitch Script,"Draft a 3-minute pitch script for a startup making biodegradable packaging. Include hook, problem, solution, traction, and ask.",3-minute investor pitch script for biodegradable packaging startup,Claude,Grey Cells,Business,"[""pitch"", ""startup""]",5,Successful,0,,583,1,Claude 2
Instagram Reel Ideas,"Generate 10 short video content ideas for Instagram Reels promoting a street food business. Focus on trends, humor, and fast editing.",10 Instagram Reel concepts with hook ideas and editing tips,Gentube,Grey Cells,Social Media,"[""reels"", ""food""]",5,Successful,0,,661,1,Gentube Pro
Children’s Story Illustration Pack,"Create a set of 5 illustrations for a children’s story about a turtle learning to fly. Style: colorful, playful, friendly characters.",5 child-friendly illustrations of turtle and flying adventure,DALL-E,Grey Cells,Images,"[""children"", ""illustration""]",5,Successful,0,,223,1,DALL-E 3
E-commerce Product Comparison,"Write a comparison chart between 5 popular smartwatches. Include battery life, features, price, and best use case.",Comparison table of 5 smartwatches with pros and cons,ChatGPT,Grey Cells,E-comm,"[""comparison"", ""products""]",5,Successful,0,,538,1,GPT-4
Podcast Brand Jingle,"Generate a catchy 10-second audio jingle for a podcast called ‘Tech Talks Today’. Style: upbeat, modern, techy.",10-second upbeat podcast jingle audio,Musicful,Grey Cells,Audio,"[""jingle"", ""podcast""]",5,Successful,0,,364,1,Musicful Studio
AI Image to Story,Take any uploaded image and generate a short 200-word story inspired by it.,Short imaginative story based on uploaded image,OpenArt,Grey Cells,Creative,"[""story"", ""image""]",4,Successful,0,,256,1,OpenArt API
AI Productivity Dashboard,"Design a daily productivity dashboard summarizing to-dos, calendar, emails, and reminders. Provide layout and widget ideas.","Dashboard wireframe with to-do, calendar, email, reminders sections",Lovable,Grey Cells,Productivity,"[""dashboard"", ""productivity""]",4,Successful,0,,182,1,Lovable Studio
Marketing Poster Design Prompt,"Generate a promotional poster design for a startup hackathon. Theme: futuristic, neon accents, bold typography.",Poster design with futuristic neon look,IdeoGram,Grey Cells,Marketing,"[""poster"", ""hackathon""]",5,Successful,0,,427,1,IdeoGram Studio
Virtual Interior Design Visualizer,Generate 3D renders of a modern minimal living room with neutral tones and wooden furniture.,Set of 3 photorealistic living room renders,Kling,Grey Cells,Designs,"[""interior"", ""render""]",5,Successful,0,,692,1,Kling Render AI
